TEMA,SUBTEMA,VARIABLE,CLASE,Fuente,AnO,Valor
Informacion Destacada del turismo internacional,Africa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2012,52
Informacion Destacada del turismo internacional,Medio Oriente,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2012,52
Informacion Destacada del turismo internacional,Europa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2012,458
Informacion Destacada del turismo internacional,Americas,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2012,213
Informacion Destacada del turismo internacional,Asia y el Pacifico,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2012,324
Informacion Destacada del turismo internacional,Africa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2012,34
Informacion Destacada del turismo internacional,Medio Oriente,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2012,47
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"Ocio,recreacion,vacaciones",International Tourism Highlights (2012-2019),2012,52.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"VFR, salud,religion, otro",International Tourism Highlights (2012-2019),2012,27.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,Negocios y profesional,International Tourism Highlights (2012-2019),2012,14.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,No especificado,International Tourism Highlights (2012-2019),2012,7.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Aire,International Tourism Highlights (2012-2019),2012,52.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Terrestre y tren,International Tourism Highlights (2012-2019),2012,42.00%
Informacion Destacada del turismo internacional,Mundo Entero,Medio de Transporte,Agua,International Tourism Highlights (2012-2019),2012,6.00%
Tasa de ocupacion Hotelera,Tasa de ocupacion hotelera Bogota,Porcentaje,,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, Sistema de Informacion Turistica- SIH",2013,58.20%
Tasa de ocupacion Airbnb,Tasa de ocupacion Airbnb Bogota,Porcentaje,,,2013,
Generacion de empleo turismo,Empleo Turismo Bogota,Total,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2013,257523.5833
Generacion de empleo turismo,Sectores directos,Agencias de viaje,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2013,13819
Generacion de empleo turismo,Sectores directos,Alojamiento y hospedaje,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2013,12673.16667
Generacion de empleo turismo,Sectores conexos,Alimentos y bebidas,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2013,144324
Generacion de empleo turismo,Sectores conexos,Esparcimiento,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2013,784.4166667
Generacion de empleo turismo,Sectores conexos,Transporte aereo,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2013,9093.083333
Generacion de empleo turismo,Sectores conexos,Transporte terrestre,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2013,76829.91667
Generacion de empleo turismo,Participacion % ,Porcentaje,Empleo Turismo/ Turismo Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020",2013,6.30%
Conectividad directa internacional,Ciudades,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2013,36
Conectividad directa internacional,Aerolineas,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2013,25
Conectividad directa internacional,Vuelos,Promedio mensual,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2013,2895
Conectividad directa internacional,Sillas,Promedio mensual,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2013,398436
Conectividad directa internacional,Pasajeros,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2013,3748281
indice de Presion Turistica,indice,indice,indice,Observatorio de Turismo,2013,1.04
PIB,Participacion % ,Porcentaje,Subsector: Alojamiento y servicio de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2013,
PIB,Participacion % ,Porcentaje,Sector: Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Cuentas Nacionales",2013,19.40%
Informacion Destacada del turismo internacional,Mundo Entero,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2013,1087
Informacion Destacada del turismo internacional,Mundo Entero,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Trillones de Dolares ,International Tourism Highlights (2012-2019),2013,1.4
Informacion Destacada del turismo internacional,Mundo Entero,Transporte Internacional de Pasajeros,Millones de Personas,International Tourism Highlights (2012-2019),2013,218
Informacion Destacada del turismo internacional,Mundo Entero,Ingresos por turismo internacional,Billones de Dolares ,International Tourism Highlights (2012-2019),2013,1159
Informacion Destacada del turismo internacional,Europa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2013,563
Informacion Destacada del turismo internacional,Americas,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2013,168
Informacion Destacada del turismo internacional,Asia y el Pacifico,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2013,248
Informacion Destacada del turismo internacional,Africa,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2013,56
Informacion Destacada del turismo internacional,Medio Oriente,Llegadas de Turistas Internacionales,Millones de Personas,International Tourism Highlights (2012-2019),2013,52
Informacion Destacada del turismo internacional,Europa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2013,489
Informacion Destacada del turismo internacional,Americas,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2013,229
Informacion Destacada del turismo internacional,Asia y el Pacifico,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2013,359
Informacion Destacada del turismo internacional,Africa,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2013,34
Informacion Destacada del turismo internacional,Medio Oriente,Exportaciones Totales de Turismo Internacional,(ingresos + transporte de pasajeros) Billones de Dolares ,International Tourism Highlights (2012-2019),2013,47
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"Ocio,recreacion,vacaciones",International Tourism Highlights (2012-2019),2013,52.00%
Informacion Destacada del turismo internacional,Mundo Entero,Proposito del Viaje,"VFR, salud,religion, otro",International Tourism Highlights (2012-2019),2013,27.00%
